id,optionSetId, optionSetCode, sequence, itemCode, itemName
SysOptionItem.FileType.1,SysOptionSet.FileType, FileType,1, jpg, jpg
SysOptionItem.FileType.2,SysOptionSet.FileType, FileType,2, png, png
SysOptionItem.FileType.3,SysOptionSet.FileType, FileType,3, jpg, jpg
SysOptionItem.FileType.4,SysOptionSet.FileType, FileType,4, webp, webp
SysOptionItem.FileType.5,SysOptionSet.FileType, FileType,5, bmp, bmp
SysOptionItem.FileType.6,SysOptionSet.FileType, FileType,6, tif, tif
SysOptionItem.FileType.7,SysOptionSet.FileType, FileType,7, svg, svg
SysOptionItem.FileType.8,SysOptionSet.FileType, FileType,8, gif, gif
SysOptionItem.FileType.9,SysOptionSet.FileType, FileType,9, ico, ico
SysOptionItem.FileType.10,SysOptionSet.FileType, FileType,10, csv, csv
SysOptionItem.FileType.11,SysOptionSet.FileType, FileType,11, txt, txt
SysOptionItem.FileType.12,SysOptionSet.FileType, FileType,12, doc, doc
SysOptionItem.FileType.13,SysOptionSet.FileType, FileType,3, docx, docx
SysOptionItem.FileType.14,SysOptionSet.FileType, FileType,4, ppt, ppt
SysOptionItem.FileType.15,SysOptionSet.FileType, FileType,5, pptx, pptx
SysOptionItem.FileType.16,SysOptionSet.FileType, FileType,6, xls, xls
SysOptionItem.FileType.17,SysOptionSet.FileType, FileType,7, xlsx, xlsx
SysOptionItem.FileType.18,SysOptionSet.FileType, FileType,8, pdf, pdf
SysOptionItem.FileType.19,SysOptionSet.FileType, FileType,9, json, json
SysOptionItem.FileType.20,SysOptionSet.FileType, FileType,10, xml, xml